,Team,Record,ELO,Rank,ELO Delta,School
0,Arizona,21-0,1826.82,1,,Arizona
1,Michigan,19-1,1808.16,2,2.0,Michigan
2,Connecticut,20-1,1806.0,3,-1.0,Connecticut
3,Duke,19-1,1802.92,4,-1.0,Duke
4,Houston,18-2,1772.45,5,,Houston
5,Texas Tech,16-4,1756.84,6,,Texas Tech
6,Gonzaga,21-1,1743.3,7,,Gonzaga
7,Illinois,17-3,1726.73,8,2.0,Illinois
8,Michigan State,19-2,1726.57,9,3.0,Michigan State
9,Nebraska,20-1,1720.83,10,-2.0,Nebraska
10,Iowa State,18-2,1705.08,11,2.0,Iowa State
11,BYU,17-3,1702.98,12,-1.0,Brigham Young
12,Purdue,17-4,1701.37,13,-4.0,Purdue
13,Saint John's,16-5,1692.8,14,,St. John's (NY)
14,Kansas,15-5,1674.85,15,,Kansas
15,Florida,15-6,1669.21,16,,Florida
16,Arkansas,16-5,1664.33,17,1.0,Arkansas
17,Virginia,17-3,1664.19,18,1.0,Virginia
18,Vanderbilt,18-3,1663.42,19,1.0,Vanderbilt
19,Alabama,14-6,1641.07,20,7.0,Alabama
20,Auburn,14-7,1640.92,21,5.0,Auburn
21,Saint Louis,19-1,1636.71,22,2.0,Saint Louis
22,Clemson,17-4,1634.32,23,-2.0,Clemson
23,Saint Mary's College,18-3,1633.87,24,-2.0,Saint Mary's (CA)
24,Kentucky,14-7,1630.94,25,-8.0,Kentucky
25,Texas A&M,16-4,1624.51,26,-1.0,Texas A&M
26,North Carolina,16-4,1618.04,27,1.0,North Carolina
27,Tennessee,14-6,1617.63,28,6.0,Tennessee
28,Iowa,15-5,1616.46,29,6.0,Iowa
29,UCLA,15-6,1615.41,30,-1.0,UCLA
30,Louisville,14-6,1614.63,31,-8.0,Louisville
31,New Mexico,16-4,1614.09,32,-2.0,New Mexico
32,San Diego State,14-5,1612.65,33,-2.0,San Diego State
33,Wisconsin,15-6,1610.82,34,-2.0,Wisconsin
34,UCF,16-4,1610.01,35,-2.0,UCF
35,George Mason,18-2,1598.84,36,1.0,George Mason
36,Miami (OH),18-0,1598.26,37,-1.0,Miami (OH)
37,North Carolina State,15-6,1587.0,38,5.0,NC State
38,SMU,15-5,1581.64,39,,Southern Methodist
39,Utah State,16-3,1580.6,40,4.0,Utah State
40,Belmont,18-3,1576.64,41,4.0,Belmont
41,Villanova,15-5,1575.58,42,-2.0,Villanova
42,Santa Clara,17-5,1575.11,43,3.0,Santa Clara
43,Liberty,14-3,1573.91,44,-2.0,Liberty
44,Ohio State,14-6,1569.78,45,2.0,Ohio State
45,Indiana,14-7,1568.65,46,6.0,Indiana
46,USC,14-6,1558.03,47,-9.0,Southern California
47,VCU,15-6,1556.98,48,,Virginia Commonwealth
48,Georgia,16-5,1551.42,49,-8.0,Georgia
49,Akron,15-4,1549.62,50,1.0,Akron
50,West Virginia,14-7,1541.0,51,6.0,West Virginia
51,Virginia Tech,16-6,1535.9,52,8.0,Virginia Tech
52,Nevada,15-6,1532.39,53,10.0,Nevada
53,Miami (FL),17-4,1531.99,54,10.0,Miami (FL)
54,Yale,13-3,1524.75,55,,Yale
55,McNeese,15-4,1523.11,56,5.0,McNeese State
56,Grand Canyon,13-7,1516.78,57,-8.0,Grand Canyon
57,Stanford,14-7,1515.59,58,-8.0,Stanford
58,Missouri,14-7,1511.6,59,-6.0,Missouri
59,TCU,13-8,1510.74,60,-1.0,TCU
60,UNCW,16-3,1507.01,61,1.0,UNC Wilmington
61,Texas,11-9,1506.73,62,-8.0,Texas
62,Boise State,12-7,1504.17,63,5.0,Boise State
63,Washington,11-9,1499.25,64,1.0,Washington
64,Tulsa,16-3,1498.8,65,6.0,Tulsa
65,Oklahoma State,14-6,1497.55,66,,Oklahoma State
66,Troy,13-6,1494.38,67,2.0,Troy
67,Kent State,14-5,1491.73,68,5.0,Kent State
68,Creighton,12-9,1487.53,69,-13.0,Creighton
69,California,14-6,1485.28,70,-12.0,California
70,Butler,13-8,1484.25,71,-4.0,Butler
71,FAU,12-7,1482.56,72,-2.0,Florida Atlantic
72,Ole Miss,11-9,1480.13,73,-1.0,Mississippi
73,Mississippi State,11-10,1479.75,74,8.0,Mississippi State
74,High Point,15-4,1476.25,75,,High Point
75,South Florida,13-7,1472.42,76,7.0,South Florida
76,Cincinnati,11-10,1467.68,77,12.0,Cincinnati
77,Seton Hall,15-6,1467.4,78,9.0,Seton Hall
78,UC Irvine,12-7,1459.02,79,,UC Irvine
79,North Dakota State,15-5,1454.82,80,1.0,North Dakota State
80,Illinois State,14-7,1449.27,81,25.0,Illinois State
81,Baylor,10-9,1448.68,82,-8.0,Baylor
82,Bradley,13-8,1448.33,83,2.0,Bradley
83,Dayton,14-7,1445.16,84,-8.0,Dayton
84,Murray State,16-6,1444.73,85,-8.0,Murray State
85,Wichita State,12-8,1437.96,86,4.0,Wichita State
86,Saint Joseph's,11-8,1437.14,87,10.0,Saint Joseph's
87,Arizona State,11-10,1433.83,88,-4.0,Arizona State
88,Utah Valley,12-6,1432.84,89,3.0,Utah Valley
89,LSU,13-8,1432.82,90,-10.0,Louisiana State
90,Rhode Island,13-8,1428.69,91,29.0,Rhode Island
91,Saint Thomas,14-5,1428.46,92,3.0,St. Thomas
92,Wake Forest,11-10,1428.04,93,-15.0,Wake Forest
93,Colorado,12-8,1426.17,94,2.0,Colorado
94,California Baptist,15-6,1424.46,95,3.0,California Baptist
95,Charleston,12-8,1424.05,96,4.0,College of Charleston
96,UC San Diego,13-6,1423.92,97,4.0,UC San Diego
97,UAB,12-8,1422.92,98,11.0,UAB
98,Memphis,9-10,1421.52,99,4.0,Memphis
99,Xavier,11-10,1418.8,100,-14.0,Xavier
100,UNLV,9-10,1418.44,101,-8.0,Nevada-Las Vegas
101,San Francisco,12-10,1418.17,102,-11.0,San Francisco
102,Lipscomb,12-7,1417.17,103,5.0,Lipscomb
103,Colorado State,11-9,1416.88,104,-10.0,Colorado State
104,Drake,10-10,1416.73,105,8.0,Drake
